,iso_code,location,total_cases,gdp_per_capita
227671,STP,Sao Tome and Principe,4.0,3052.714
134592,OWID_KOS,Kosovo,2.0,9795.834
184094,NER,Niger,1.0,926.0
231050,SEN,Senegal,1.0,2470.58
125262,ITA,Italy,2.0,35220.084
196302,OMN,Oman,8.0,37960.709
202127,PNG,Papua New Guinea,1.0,3823.194
239175,SVN,Slovenia,1.0,31400.84
16306,AUT,Austria,1.0,45436.686
189875,MKD,North Macedonia,1.0,13111.214
98627,GRC,Greece,1.0,24574.382
247247,ESP,Spain,1.0,34272.36
70854,ECU,Ecuador,1.0,10581.936
117135,IND,India,1.0,6426.674
175967,NAM,Namibia,2.0,9541.808
210241,PRI,Puerto Rico,2.0,35044.67
146181,LTU,Lithuania,1.0,29524.265
166298,FSM,Micronesia (country),2.0,3299.464
2386,ALB,Albania,2.0,11803.431
69695,DOM,Dominican Republic,1.0,14600.861
