,iso_code,location,total_cases,gdp_per_capita
271301,TUV,Tuvalu,3.0,3575.104
100975,GRD,Grenada,1.0,13593.877
127572,JPN,Japan,1.0,39002.223
9352,ATG,Antigua and Barbuda,1.0,21490.943
280951,UZB,Uzbekistan,4.0,6253.104
54620,COG,Congo,1.0,4881.406
232214,SRB,Serbia,1.0,14048.881
290161,YEM,Yemen,1.0,1479.147
52293,COL,Colombia,1.0,13254.949
143887,LBY,Libya,1.0,17881.509
214841,RUS,Russia,2.0,24765.954
211390,QAT,Qatar,5.0,116935.6
96321,GHA,Ghana,1.0,4227.63
204433,PER,Peru,9.0,12236.706
37209,BRN,Brunei,1.0,71809.251
119478,IRN,Iran,6.0,19082.62
146181,LTU,Lithuania,1.0,29524.265
140374,LBN,Lebanon,5.0,13367.565
117135,IND,India,1.0,6426.674
98627,GRC,Greece,1.0,24574.382
197463,PAK,Pakistan,6.0,5034.708
80070,ETH,Ethiopia,1.0,1729.927
227671,STP,Sao Tome and Principe,4.0,3052.714
155077,MDV,Maldives,6.0,15183.616
3534,DZA,Algeria,1.0,13913.839
78910,SWZ,Eswatini,1.0,7738.975
49962,CHL,Chile,1.0,22767.037
76598,ERI,Eritrea,1.0,1510.459
253093,CHE,Switzerland,1.0,57410.166
284429,VEN,Venezuela,6.0,16745.022
51069,CHN,China,1.0,15308.712
92845,GMB,Gambia,1.0,1561.767
236871,SXM,Sint Maarten (Dutch part),1.0,36327.232
173655,MOZ,Mozambique,1.0,1136.103
172474,MAR,Morocco,5.0,7485.013
139224,LVA,Latvia,1.0,25063.846
288901,OWID_WRL,World,3.0,15469.207
11663,ARM,Armenia,1.0,8787.58
292461,ZWE,Zimbabwe,1.0,1899.775
114850,HUN,Hungary,2.0,26777.561
88147,FRA,France,3.0,38605.671
47652,CAF,Central African Republic,1.0,661.24
19787,BHR,Bahrain,5.0,43290.705
104447,GTM,Guatemala,1.0,7423.808
219540,KNA,Saint Kitts and Nevis,2.0,24654.385
69695,DOM,Dominican Republic,1.0,14600.861
247247,ESP,Spain,1.0,34272.36
193977,NOR,Norway,1.0,64800.057
27936,BMU,Bermuda,2.0,50669.315
120643,IRQ,Iraq,5.0,15663.986
261213,TGO,Togo,1.0,1429.813
257744,TZA,Tanzania,1.0,2683.304
142719,LBR,Liberia,1.0,752.788
224166,VCT,Saint Vincent and the Grenadines,1.0,10727.146
56933,CRI,Costa Rica,2.0,15524.995
169002,MNG,Mongolia,1.0,11840.846
34874,BRA,Brazil,1.0,14103.452
33747,BWA,Botswana,3.0,15807.374
131112,KAZ,Kazakhstan,2.0,24055.588
24410,BEL,Belgium,1.0,42658.576
110253,HTI,Haiti,2.0,1653.173
53507,COM,Comoros,1.0,1413.89
141617,LSO,Lesotho,1.0,2851.153
52,AFG,Afghanistan,5.0,1803.987
65060,COD,Democratic Republic of Congo,1.0,808.133
210241,PRI,Puerto Rico,2.0,35044.67
248423,LKA,Sri Lanka,5.0,11669.077
209072,PRT,Portugal,2.0,27936.896
258840,THA,Thailand,1.0,16277.671
40714,BDI,Burundi,2.0,702.225
25621,BLZ,Belize,1.0,7824.362
199791,PSE,Palestine,11.0,4449.898
93983,GEO,Georgia,1.0,9745.079
279787,URY,Uruguay,4.0,20551.409
107938,GNB,Guinea-Bissau,2.0,1548.675
178235,NPL,Nepal,1.0,2442.804
20960,BGD,Bangladesh,3.0,3523.984
46496,CYM,Cayman Islands,1.0,49903.029
189875,MKD,North Macedonia,1.0,13111.214
152781,MWI,Malawi,3.0,1095.042
58095,CIV,Cote d'Ivoire,1.0,3601.006
250791,SUR,Suriname,1.0,13767.119
134592,OWID_KOS,Kosovo,2.0,9795.834
15112,AUS,Australia,1.0,44648.71
272810,UKR,Ukraine,1.0,7894.393
32561,BIH,Bosnia and Herzegovina,2.0,11713.895
184094,NER,Niger,1.0,926.0
182935,NIC,Nicaragua,1.0,5321.444
95090,DEU,Germany,1.0,45229.245
273936,ARE,United Arab Emirates,8.0,67293.483
30248,BOL,Bolivia,2.0,6885.829
205559,PHL,Philippines,1.0,7599.188
7047,AGO,Angola,1.0,5819.495
126468,JAM,Jamaica,1.0,8193.571
185235,NGA,Nigeria,1.0,5338.454
177877,NRU,Nauru,2.0,12895.635
179431,NLD,Netherlands,1.0,48472.545
18649,BHS,Bahamas,1.0,27717.847
23275,BLR,Belarus,1.0,17167.967
75430,GNQ,Equatorial Guinea,1.0,22604.873
